id,job_name,short_info
                        Infotainment Lead/Consultant インフォテイメントリード/ コンサルタント 独占求人,,
                    ",KPIT Technologies Ltd 正社員   経験考慮の上、応相談 職務経験 6年以上...,
70,,
                        システム開発 IT系 ／ ソフトウェアエンジニア（組込・制御系・IoT関連）,,
                    ",業務内容 ■エンジニアリング目的のアプリケーションやデータベース、また制御系ソフトウェアの開発 ...,
71,,
                        制御ソフトウェア開発※ヘッドフォン国内シェア首位 世界の「audio-technica」ブランド,,
                    ",制御ソフトウェア開発※ヘッドフォン国内シェア首位 世界の「audio-technica」ブランド...,
72,,
                        【R&Dエンジニア / CGエンジニア】,,
                    ",株式会社 ポリゴン・ピクチュアズ 東京本社 港区南麻布3丁目20-1 Daiwa麻布テラス1階 ...,
73,,
                        年収500万以上／組込みエンジニア【手術支援ロボット開発】※マネージャー,,
                    ",【職種名】 組込みエンジニア【手術支援ロボット開発】※マネージャー 【仕事内容】 ★今までの組込...,
74,,
                        組込ソフトウェア 半導体製造装置のソフトウェア開発,,
                    ",業務内容詳細 半導体製造装置の組込開発 Qtを使った画面プログラム開発 ハードウェア（Robot...,
75,,
                        遊技機プログラマ,,
                    ",(1)演出プログラム開発 演出データの組み込みとタイトル固有の制御の開発。主にC言語を使用してい...,
76,プログラマー(Web)、システムエンジニア(Web)  【AAAタイトル開発者：エンジニア】ツールエンジニア【東京】,企業名 株式会社Cygames 雇用形態 契約社員、正社員 業務内容 【仕事内容】・レベルエディ...
77,リフレクソロジスト Queensway Q’s for-rest（ヘッドスパ専門サロン） エステティシャン クイックスリムQtto Queens Bridal シェービング 理容師 銀座BARBER ...,入社日いつでも相談可能♪完全未経験OK★ノルマなしの安心固定給☆社員登用有！がんばりが報われる手...
78,その他(ソーシャルゲーム)、プログラマー(ソーシャルゲーム)、デザイナー_3D_アートディレクター(ソーシャルゲーム)、デザイナー_2D_アートディレクター(ソー...,企業名 株式会社Donuts 雇用形態 正社員 業務内容 【概要・業務内容】今回募集するテクニカ...
79,プログラマー(アミューズメント)  ツールプログラマー,企業名 ゼニマックス・アジア株式会社 雇用形態 契約社員、正社員 業務内容 ◎業務内容プロジェク...
80,クラウドエンジニア(インフラ/ネットワーク)◆前給UP確約◆クラウド/ハイパーコンバージドのスキルをGET,当社に寄せられる案件は、設計・構築は当たり前、更にその先のコンサルフェーズと呼ばれる段階（次期イ...
81,,
                        ゲーム開発会社,,
                    ",[職種] IT・エンジニア （システムエンジニア（SE）・プログラマー） [仕事内容] ゲーム開...,
82,,
                        システムエンジニア(その他)、サブ開発プログラマー(遊技機)、メイン開発プログラマー(遊技機)  グラフィックスエンジニア：Software Development,,
                    ",企業名 株式会社アルゼゲーミングテクノロジーズ 雇用形態 契約社員、正社員 業務内容 カジノ用ゲ...,
83,,
                        IoTのプリセールス（技術営業）・ソリューションアーキテクト,,
                    ",【業務内容】 ■IoTソリューションの営業活動・販売を技術面からサポートします。 ■案件獲得に向...,
84,,
                        組込系アプリケーション開発エンジニア（Musicデバイス向けアプリ）／神奈川県、首都圏を中心に展開するSI企業です。自社内業務、研修もあります。,,
                    ",［仕事内容］ 【仕事内容】Musicデバイス向け アプリケーション開発をご担当頂きます。開発環境...,
85,,
                        【八王子】 業務用プリンターメーカー ソフト開発(アプリケーション開発) IT系 ／ ソフトウェアエンジニア（組込・制御系・IoT関連）,,
                    ",業務内容 3Dプリンティングソフトウェアの開発、その他、Windowsアプリケーションの開発 求...,
86,,
                        エステティシャン（痩身、フェイシャル）: 2019年春・新宿エリアオープニングスタッフ大募集！経験者大歓迎！無資格OK最新マシンを駆使した痩身エステ土日休...,,
